condition,detector_overlap,bin_index,screen_position,probability,hit_count
one_slit,,46,-21.50753769,0.8567867523932816,96
one_slit,,47,-21.10552764,0.8617806490228977,96
one_slit,,48,-20.70351759,0.8667027785844809,97
one_slit,,49,-20.30150754,0.871551935983694,82
one_slit,,50,-19.89949749,0.8763269320013282,103
one_slit,,51,-19.49748744,0.8810265936893912,101
one_slit,,52,-19.09547739,0.8856497647622009,96
one_slit,,53,-18.69346734,0.8901953059823268,91
one_slit,,54,-18.29145729,0.8946620955412329,87
one_slit,,55,-17.88944724,0.8990490294344708,106
one_slit,,56,-17.48743719,0.903355021831277,103
one_slit,,57,-17.08542714,0.9075790054384293,98
one_slit,,58,-16.68341709,0.9117199318582193,120
one_slit,,59,-16.28140704,0.9157767719404063,102
one_slit,,60,-15.87939698,0.9197485162257328,100
one_slit,,61,-15.47738693,0.9236341748923448,113
one_slit,,62,-15.07537688,0.9274327786816712,93
one_slit,,63,-14.67336683,0.9311433788275933,109
one_slit,,64,-14.27135678,0.9347650474761146,112
one_slit,,65,-13.86934673,0.9382968779983579,118
one_slit,,66,-13.46733668,0.9417379852966262,120
one_slit,,67,-13.06532663,0.9450875061034011,126
one_slit,,68,-12.66331658,0.9483445992731673,121
one_slit,,69,-12.26130653,0.9515084460669463,120
one_slit,,70,-11.85929648,0.9545782504294247,127
one_slit,,71,-11.45728643,0.9575532392585719,101
one_slit,,72,-11.05527638,0.9604326626676364,108
one_slit,,73,-10.65326633,0.963215794239422,101
one_slit,,74,-10.25125628,0.96590193127274,106
one_slit,,75,-9.84924623,0.9684903950209407,109
one_slit,,76,-9.44723618,0.9709805309224312,104
one_slit,,77,-9.04522613,0.9733717088230878,127
one_slit,,78,-8.64321608,0.9756633231904744,124
one_slit,,79,-8.24120603,0.9778547933197833,127
one_slit,,80,-7.83919598,0.9799455635314152,109
one_slit,,81,-7.43718593,0.9819351033601226,105
one_slit,,82,-7.03517588,0.9838229077356402,117
one_slit,,83,-6.63316583,0.9856084971547301,117
one_slit,,84,-6.23115578,0.9872914178445751,111
one_slit,,85,-5.82914573,0.9888712419174565,118
one_slit,,86,-5.42713568,0.99034756751665,121
one_slit,,87,-5.02512563,0.9917200189534896,99
one_slit,,88,-4.62311558,0.9929882468355365,111
one_slit,,89,-4.22110553,0.9941519281858109,116
one_slit,,90,-3.81909548,0.995210766553031,119
one_slit,,91,-3.41708543,0.9961644921128232,106
one_slit,,92,-3.01507538,0.9970128617598575,138
one_slit,,93,-2.61306533,0.997755659190875,117
one_slit,,94,-2.21105528,0.9983926949785731,102
one_slit,,95,-1.80904523,0.9989238066363181,136
one_slit,,96,-1.40703518,0.9993488586736626,105
one_slit,,97,-1.00502513,0.9996677426426429,114
one_slit,,98,-0.60301508,0.9998803771748399,133
one_slit,,99,-0.20100503,0.9999867080091851,108
one_slit,,100,0.20100503,0.9999867080091851,131
one_slit,,101,0.60301508,0.9998803771748399,103
one_slit,,102,1.00502513,0.9996677426426429,98
one_slit,,103,1.40703518,0.9993488586736626,113
one_slit,,104,1.80904523,0.9989238066363181,113
one_slit,,105,2.21105528,0.9983926949785731,119
one_slit,,106,2.61306533,0.997755659190875,137
one_slit,,107,3.01507538,0.9970128617598575,118
one_slit,,108,3.41708543,0.9961644921128232,127
one_slit,,109,3.81909548,0.995210766553031,117
one_slit,,110,4.22110553,0.9941519281858109,107
one_slit,,111,4.62311558,0.9929882468355365,128
one_slit,,112,5.02512563,0.9917200189534896,133
one_slit,,113,5.42713568,0.99034756751665,107
one_slit,,114,5.82914573,0.9888712419174565,121
one_slit,,115,6.23115578,0.9872914178445751,115
one_slit,,116,6.63316583,0.9856084971547301,114
one_slit,,117,7.03517588,0.9838229077356402,119
one_slit,,118,7.43718593,0.9819351033601226,121
one_slit,,119,7.83919598,0.9799455635314152,126
one_slit,,120,8.24120603,0.9778547933197833,106
one_slit,,121,8.64321608,0.9756633231904744,119
one_slit,,122,9.04522613,0.9733717088230878,108
one_slit,,123,9.44723618,0.9709805309224312,108
one_slit,,124,9.84924623,0.9684903950209407,131
one_slit,,125,10.25125628,0.96590193127274,124
one_slit,,126,10.65326633,0.963215794239422,110
one_slit,,127,11.05527638,0.9604326626676364,134
one_slit,,128,11.45728643,0.9575532392585719,97
one_slit,,129,11.85929648,0.9545782504294247,100
one_slit,,130,12.26130653,0.9515084460669463,114
one_slit,,131,12.66331658,0.9483445992731673,113
one_slit,,132,13.06532663,0.9450875061034011,117
one_slit,,133,13.46733668,0.9417379852966262,121
one_slit,,134,13.86934673,0.9382968779983579,120
one_slit,,135,14.27135678,0.9347650474761146,113
one_slit,,136,14.67336683,0.9311433788275933,91
one_slit,,137,15.07537688,0.9274327786816712,105
one_slit,,138,15.47738693,0.9236341748923448,116
one_slit,,139,15.87939698,0.9197485162257328,107
one_slit,,140,16.28140704,0.9157767719404063,115
one_slit,,141,16.68341709,0.9117199318582193,107
one_slit,,142,17.08542714,0.9075790054384293,100
one_slit,,143,17.48743719,0.903355021831277,124
one_slit,,144,17.88944724,0.8990490294344708,118
one_slit,,145,18.29145729,0.8946620955412329,95
one_slit,,146,18.69346734,0.8901953059823268,124
one_slit,,147,19.09547739,0.8856497647622009,111
one_slit,,148,19.49748744,0.8810265936893912,84
one_slit,,149,19.89949749,0.8763269320013282,100
